ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
451;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Ik heb het gevoel dat er te veel materiaal is [] weinig collegeuren en lestijd.;Could the institution offer more tailored advice that acknowledges our specific learning needs?;[] feedback over [], niet alleen over [].
452;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] [NAME] te traag en zouden graag een duidelijke planning [].;[] begeleiding op [NAME].;I think a dedicated online booking system for mentors would significantly improve accessibility.
453;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Kunnen de docenten een vaste reactietijd geven? [] is te onvoorspelbaar.;[] feedback over de vertraging van de mentorresponsen? [] is te langzaam.;Could the department improve the response time for counseling appointments, please?
454;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;I think the sheer workload makes it impossible to keep up with all the deadlines.;De uitleg was [], en ik voelde me niet echt gehoord tijdens de sessie.;Could the institution establish a set bi-weekly check-in schedule for all students?
455;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Het is lastig om goed te [].;A bit more guidance from faculty would help standardize the mentoring experience.;Ik vond de peer-mentor sessies echt nuttig, het was goed om andere [].
456;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;I wish the instructors provided more immediate feedback on our submitted work.;Het is onmogelijk om een plek te reserveren [] server crasht of een fout geeft.;Is er een alternatief, []?
457;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;We were expecting more face-to-face time with the instructors, it's quite disheartening.;The mentors rarely give us time to discuss our specific career path or doubts.;Ik voel mij soms overgezien omdat mijn specifieke situatie niet direct begrepen wordt.
458;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Ik merk dat de leerbronnen inconsistent zijn, [].;Could you look into upgrading the reservation system? It's constantly throwing 'full' messages.;[] gestructureerde en toegankelijke mentorenuren zouden zijn.
459;2;2026/27;Den Bosh;ICT & Business;Part-time;Third-year;[NAME] needs to speed up the grading process, we are getting anxious about the results.;De docenten moeten de verhouding tussen groep en individueel [].;De feedback over CV's was super nuttig, ik heb meteen verbeteringen [].
460;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;I am concerned that [] will hinder our comprehensive understanding of the material.;Having three different people teaching core concepts is genuinely confusing and tiring.;I recommend expanding the scope of peer support beyond just academic subjects.
461;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;[] interactieve groepsopdrachten worden gegeven tijdens de lessen?;De focus ligt te veel op fysieke infrastructuur en te weinig op digitale middelen.;Wanneer wij problemen melden, [] of actie onderneemt.
462;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;I feel like the pace is sometimes too fast to fully grasp the complex material.;Zij komen echt op ons af met [], dat [].;It seems like student concerns are sometimes acknowledged but never truly resolved.
463;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;It was disappointing how few lectures we got, making the learning curve quite steep.;I keep running into 'slots full' errors, even when I check much earlier than necessary.;[] van zelfstudie duidelijker gecommuniceerd worden.
464;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Could we get a dedicated Q&A session after the core material is covered?;It's quite concerning that we wait so long for even simple replies.;I wish the support checkpoints were more frequent to help me manage my workload better.
465;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het niveau van kennis dat wordt gedeeld, is zowel academisch als bruikbaar in [].;I'm impressed by the supportive environment, the teachers actively guide our learning process.;My concerns about housing applications often feel like they get lost in a bureaucratic cycle.
466;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Smith's slow grading process needs reviewing because it adds unnecessary stress.;[] mentor [], [] is.;De communicatie over culturele vieringen is soms te algemeen en niet specifiek genoeg.
467;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Their asynchronous feedback is often vague, making it hard to know exactly what I need to improve.;De docenten [] extra sessies te plannen, wat heel waardevol is.;I feel like the check-ins often feel rushed, perhaps making them slightly more frequent would improve things.
468;1;2026/27;Venlo;Artificial Intelligence;Part-time;Fourth-year;De beoordelingscriteria zijn heel vaag, ik [] ik precies moet verbeteren.;Ik kreeg het gevoel dat de docent [] was met [] [] script.;Ik wil graag weten wat de specifieke verwachtingen zijn voor het eindproject en de deadline.
469;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The materials are excellent, yet sometimes the explanations seem too theoretical for practical application.;We need clear guidelines on accessing resources that aren't physical copies.;Misschien meer workshops over mindfulness en het opbouwen van veerkracht [].
470;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het is nuttig, [] zouden de verbanden tussen verschillende onderwerpen beter moeten uitleggen.;Seriously, a [] turnaround time for an academic question is unacceptable for a modern course.;[] verschil maken als er meer back-up mentoren beschikbaar zouden zijn.
471;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Smith's grading is painfully slow, we really need a clearer timeline for feedback.;De lessen zouden meer interactieve, online praktijkopdrachten moeten bevatten, niet alleen theoretische lezingen.;My mentor was always available and offered insightful perspectives on specialized career paths.
472;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Het is frustrerend dat [] komen wanneer we het meest nodig hebben.;We zouden meer kleine groepsdiscussies [], het is nu te groot.;A better system for tracking mentor availability would really improve the experience.
473;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Ik heb het gevoel dat we veel meer contacturen nodig hebben om alle stof goed te kunnen begrijpen.;[] is []? [] website hapert constant.;It would be helpful to know who to contact directly if my concerns aren't being addressed effectively.
474;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could you please clarify the grading rubric? The expectations felt inconsistent during class.;More guest lectures from working professionals would really enhance our understanding.;Ik hoop op meer gesprekken over culturele diversiteit, zodat iedereen zich echt thuis voelt.
475;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] teleurgesteld over het te [] collegezalen, waardoor we veel zelf moeten invullen.;I think the mentors treat us too much like mere observers rather than active participants.;[] met meer peer-to-peer ondersteuning, [].
476;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;De docenten geven echt diepgaande inzichten die [] syllabus.;It is impossible to secure a slot because the system either overbooks or crashes.;De deskundigheid van de begeleiders is indrukwekkend, [] betreft vakkeuzeoptimalisatie.
477;1;2026/27;Eindhoven;Cyber Security;Part-time;First-year;Ik hoop dat er [] in hoe snel [NAME] de taken beoordeelt. Het is echt een probleem.;Kunt u het beleid rondom de responstijd van mentoren verbeteren, alstublieft?;Zeker meer frequentie op het gebied van begeleiding en feedback zouden we kunnen gebruiken.
478;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;We zouden meer praktische sessies nodig hebben om de stof echt goed te kunnen begrijpen.;[] over bepaalde modules niet uniform is.;De academische begeleiding was erg nuttig en hielp mij bij het kiezen van mijn specialisatie.
479;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Het is erg frustrerend dat [NAME] zo [], kunnen we een deadline krijgen?;Het is frustrerend dat ik weken moet wachten op een antwoord over simpele vragen.;[], ik voel me goed geholpen, maar er mist [] diepgang op culturele []'s.
480;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;De interactieve lessen en de focus op kritisch denken zijn zeer waardevol [].;More personalized attention is needed, the current format is too much like a one-way lecture.;De input over het opbouwen van een professioneel netwerk was onmisbaar voor mijn toekomst.
481;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;[] breder [] [LOCATION] thema's?;The proactive check-ins from the teaching staff make a huge difference to my learning experience.;Het advies over de specialisatie was fantastisch, ik voel me nu academisch gerustgesteld.
482;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;De beoordeling van [NAME] [], [], echt.;De presentaties waren soms [], een duidelijker raamwerk zou helpen.;My academic advisor helped clarify complex course requirements, which was very helpful.
483;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;[] we de verwijzingen naar andere disciplines meer uitdiepen? Het koppelen was spannend.;Het systeem is onbruikbaar, ik [] slot vinden tijdens mijn pogingen.;Kunt u meer structuur geven over wat we van ons verwachten in de komende modules?
484;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;The allocated time seems way too short for a subject of this complexity.;De focus op campusactiviteiten [] betaalbare digitale ondersteuning voor ons.;[] is.
485;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het is irritant dat de video-opnames vaak niet functioneren of de audio is slecht.;De docenten nemen echt de tijd om te zorgen dat we het begrijpen, dat is goud waard.;It felt great to have staff acknowledge my small wins, it was truly encouraging.
486;1;2026/27;Tilburg;Software Engineering;Part-time;Second-year;Could we receive more specific feedback on our written assignments, beyond just the grade?;I think more dedicated mentoring time would greatly improve our understanding.;It would be helpful to have clearer guidelines on what 'good' performance looks like in our assignments.
487;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;The sheer volume of assignments makes time management nearly impossible for students.;Could the department ensure better mentor continuity? It's hard to build rapport with rotating staff.;[] vaak genegeerd worden zonder duidelijke follow-up.
488;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;We need clearer guidelines, as the general communication regarding deadlines is frequently confusing.;Ik verwacht snellere reacties, wekenwachten op [] is onredelijk.;De begeleiding bij het schrijven van mijn portfolio was zeer waardevol [] vakgebied.
489;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;[] was te abstract [], ik zou meer concrete casestudies op waarde schatten.;De mentoren waren aardig, maar de praktische toepasbaarheid van de adviezen ontbrak.;I wish there was a more proactive system for checking in when we seem to be struggling academically.
490;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Ik snap de uitleg niet en ik kan de docenten niet bereiken voor meer hulp.;I need more individual check-ins rather than large, general feedback sessions from the instructors.;Ik merk dat de huidige frequentie niet altijd aansluit bij [] [].
491;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;The lack of prompt responses makes it difficult to solve practical course problems.;It feels like there's no urgency regarding student queries, the delays are frustrating.;Having a network of peers made the challenging coursework feel much more manageable.
492;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Kunnen we wat meer weten over de feedbackcyclus? []'s grading delay is frustrating.;I really appreciate the way the professors anticipate our learning gaps and address them.;Een vaste, voorspelbare check-in cyclus zou de vorderingen veel beter ondersteunen.
493;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Please improve the clarity of instructions, it often feels like we are guessing the requirements.;Het is geweldig dat we van professionals leren die de marktdynamiek kennen.;Overall, the academic support system here is top-notch and truly supportive.
494;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Het is moeilijk te begrijpen wat we precies moeten [] beoordeling criteria.;Could you consider providing virtual office [] that are more accessible and structured?;Het is moeilijk om te weten wanneer mijn specifieke case echt wordt opgepakt en waar.
495;2;2026/27;Den Bosh;HBO-ICT;Part-time;Third-year;Het materiaal is indrukwekkend, maar ik zou meer concrete toepassingen op de praktijk willen.;Ik voel me [] in plaats van een student met [].;[] geavanceerde carrièrepaden naast de standaard opties worden getoond.
496;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;[] overzichten konden geven per module.;We really need more dedicated time for one-on-one discussions with the lecturers.;[] [] bereikbaar waren op verschillende dagen.
497;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;The sheer volume of assignments makes time management feel impossible right now.;Could the department host more virtual Q&A sessions specifically for those of us online?;I wish there was a dedicated space for students to just decompress without feeling judged.
498;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Het is erg moeilijk om te studeren met zo'n trage beoordeling van [NAME], dat is echt vervelend.;Zou er een aparte online studenten feedbacksessie kunnen komen om onze zorgen te horen?;The resources offered, especially for research methods, were top-notch and very effective.
499;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;[] voordat [NAME] de beoordelingen terugstuurt? [] is niet.;Het is moeilijk om te leren als de online middelen niet goed en consistent worden bijgehouden.;Het complimenteren van groepen was geweldig, het voelde als een echte viering van succes.
500;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Ik had gewacht op de slides voor de vorige week, [] werden [] geüploaded.;We really need more personalized guidance outside of the scheduled large class time.;Perhaps setting up designated office [] would make scheduling much easier for everyone.
501;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Could the assignment load be reduced? I feel completely overwhelmed by the sheer volume.;Could the institution organize virtual study groups that connect remote learners?;Ik hoop dat de ondersteuning meer op [] in plaats van alleen per e-mail.
502;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;[] interactie prima, [].;[] presenteren [] beschikbare individuele [].;Het is moeilijk om te weten wanneer [].
503;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Ik heb het gevoel dat er te veel verwachtingen zijn op een te korte tijdspanne.;It seems like they are teaching to the test rather than encouraging actual critical thinking.;Hearing positive feedback about my efforts made me feel genuinely seen by the academic staff.
504;1;2026/27;Venlo;ICT & Business;Part-time;Fourth-year;De docent is heel duidelijk, [] over complexe theorieën was [].;We need a more prompt system for receiving actionable feedback from our assigned mentors.;It was fantastic to find a support system among my classmates, the community aspect is key.
505;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Could the department address [NAME]'s grading speed? The wait times are unbearable.;Kunnen we meer individuele aandacht krijgen? [].;I really appreciate the resources provided to explore different academic disciplines.
506;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;It would help greatly if the criteria were documented better, especially for the essays.;Please consider assigning us a dedicated, stable academic advisor for the entire program duration.;Thank you for building such a supportive environment where effort is always recognized.
507;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Het is prima, [] is [] modules te zien.;We are constantly chasing updates, the []-long delay for simple replies is unacceptable.;The counseling services are good, but I wish they were easier to book and less intimidating.
508;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;[] met betere aandacht voor uitsluiting en marginalisatie.;Ik heb de indruk dat er veel onduidelijkheid is over de gangbare praktijk onder de docenten.;[] over mijn toekomst en loopbaanontwikkeling.
509;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;The allocated time for this course is insufficient, making deep understanding quite challenging.;Kortom, de mentorrol is een pluspunt, [] is wisselend.;Het is nuttig, [] wachttijden [].
510;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;I believe incorporating indigenous knowledge systems would greatly enhance our understanding of the subject.;Het is een goede initiatief, [] of er meer begeleiding kan komen bij moeilijke vakinhoudelijke onderwerpen.;[] regelmatige check-ins willen, misschien zelfs een keer per week.
511;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Seriously, [NAME] needs to expedite the grading process, our grades are perpetually delayed.;Could there be more interactive virtual sessions that mimic in-person class energy?;More peer-led support groups focusing on transition [] would really benefit students.
512;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] was als de criteria nooit volledig zijn uitgelegd.;Ik waardeer de bereidheid om altijd extra uren in te plannen voor ons, geweldig werk.;It is hard to focus when I don't know if my reported issues will actually lead to any changes.
513;2;2026/27;Eindhoven;Artificial Intelligence;Part-time;First-year;De docent is erg deskundig, [] was dat de stof te snel [] in de laatste modules.;Ik voelde dat de docent [] sprak [] eigen expertise.;De workshops waren erg behulpzaam, maar ik zou meer aandacht voor diverse culturen willen zien.
514;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Ik heb het gevoel dat we meer praktische oefeningen nodig hebben dan wat nu wordt gegeven.;I spent [] waiting for a response that finally came after [].;Could we get clearer timelines for addressing common student complaints regarding resources?
515;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Could the curriculum incorporate more diverse voices, especially those from post-colonial literature?;[] verdwijnen in een zwart gat, [] reactie.;Could you implement a formal buddy system for incoming [] students? []
516;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Kunnen we een voorbeeld zien van een A-kwaliteit paper, alstublieft?;I wish the department would provide more context regarding the teachers' individual strengths.;[] sessies over AI en industriële toepassingen te organiseren?
517;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Ik heb moeite met de onbetrouwbaarheid van de streamingvideo's tijdens de lessen.;[] [].;I'd prefer something more structured, like a quick check-in after every major milestone, really.
518;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Could we please get more practical sessions? [] are not sufficient.;[] we meer sessies over het opbouwen van een professioneel netwerk zouden houden.;Het is moeilijk om een consistent mentorcontact te krijgen vanwege de planningbeperkingen.
519;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;The professors truly emphasized real-world applications, which I found incredibly valuable.;The lack of consistent mentorship undermines the entire purpose of the program structure.;I really appreciate the counseling services, they made a huge difference for my [].
520;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;[] als meer internationale casestudies in de lessen werden opgenomen, om een breder [].;More private consultation slots would greatly improve the feeling of being supported.;De sociale aspecten van het programma hebben mij geholpen de campus meer te omarmen en mij thuis te voelen.
521;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Please ask [NAME] to grade our work more quickly, the delay is unbearable.;Het lijkt erop dat de mentoren [] [].;[] we duidelijker feedback krijgen over hoe onze projecten in de grotere context passen.
522;2;2026/27;Tilburg;Cyber Security;Part-time;Second-year;De workload is [] is om focus te houden op de belangrijkste onderwerpen.;De docenten bereiken ons te weinig individueel, [] begeleiding.;Het is frustrerend wanneer ik meerdere keren [] moet wachten om een simpel advies.
523;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;It feels like emails go unanswered for [], making coordination difficult.;Ik ervaar de begeleiding te veel als een massa-uitzending in plaats van persoonlijke ondersteuning.;[] met meer flexibele opties voor afspraken.
524;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Honestly, [NAME]'s slow grading habits are negatively impacting my confidence in this course.;Het is frustrerend dat ik weken moet wachten op een antwoord op een simpele e-mail.;Het was fijn om een plek te hebben waar ik zowel academisch als sociaal steun kon vinden.
525;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Het curriculum biedt een fantastisch overzicht van zowel academische als professionele kanten.;The current setup lacks the personalized guidance that is essential for complex subjects like this.;[] cursussen over het opbouwen van een persoonlijke merkidentiteit zouden [].
526;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;The constant juggling of multiple assignments is honestly really stressful and difficult.;We zouden meer tijd nodig hebben voor individuele overleggesprekken over onze loopbaanpaden.;[].
527;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;I'm struggling to balance the assignments with my other courses, it's too much workload.;Als ik snel hulp nodig heb, voelt het wachten op reacties als een enorme bottleneck.;[].
528;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Het is moeilijk om te weten wat we precies moeten opleveren qua beoordeling.;De uitleg was best verwarrend, ik voelde dat het meer een afgelezen presentatie was.;[] was voor verschillende culturele feestdagen.
529;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Het is teleurstellend dat we zo weinig directe interactie met de docenten krijgen.;The current setup minimizes the opportunity for genuine, detailed interaction with faculty.;The current scheduling process feels too complicated and hard to navigate.
530;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Can we get an update on Smith's marking schedule? This delay is affecting us.;De organisatie moet de mentoren meer [].;Het gevoel van acceptatie is er, [] is echt noodzakelijk.
531;1;2026/27;Den Bosh;Software Engineering;Part-time;Third-year;[NAME] is te traag. [NAME]'s grading cycle is making us anxious about our final GPA.;It's almost impossible to get continuity when the instructors keep cycling through.;The peer mentoring system provided much-needed emotional and academic support.
532;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;We really need some extra scheduled time to solidify the theoretical knowledge presented.;[] feedback konden geven op mijn cv en carrièrepad.;It would be helpful if there was a centralized system for escalating unanswered student concerns.
533;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;We need clearer timelines for []'s assessments, de wachttijd is [NAME].;The feedback process felt somewhat rigid, meer spontane input zou echt nuttig zijn.;De begeleiding op [] was echt nuttig, ik voelde me [].
534;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;I wish [NAME] would speed up grading, waiting [] for grades feels unnecessarily punitive.;[], we hebben behoefte [] betrouwbare begeleiding.;We really need clearer guidelines on the expected response time for mentor emails.
535;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;We really need more lab time, the current contact [] are simply inadequate.;De communicatie moet verbeteren, het wachten op de docenten is een grote bron van stress.;De mentoren waren zeer bereikbaar en gaven concrete tips [] studievaardigheden.
536;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;[] we te [], [].;I keep running into errors when trying to reserve a slot, which makes planning very difficult.;I appreciate the personalized check-ins, knowing someone cares makes a huge difference.
537;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;We zouden meer praktische sessies nodig hebben om de theorie echt te kunnen toepassen.;Ik heb het gevoel dat mentorondersteuning te traag is voor urgente academische vragen.;Het is lastig om mentor [] schema van de mentor te vol staat.
538;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;[] gestructureerde grading timeline te krijgen van [NAME]?;[].;[] met [] controles om de motivatie hoog te houden.
539;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Kunnen we alsjeblieft [] we de beoordeling van [NAME] kunnen verwachten?;Kunnen de begeleiders [] sneller beantwoorden? [].;Ik vond de groepsgesprekken erg nuttig, het voelde alsof ik bij een familie was.
540;1;2026/27;Venlo;HBO-ICT;Part-time;Fourth-year;Ik voel me constant overbelast met [NAME] huiswerk die we moeten inleveren. (I feel constantly overwhelmed with the amount of homework we have to hand in.);I find it difficult because the instructors offer conflicting information regarding policy.;Ik merk dat ik sneller help met meer gestructureerde en frequente begeleiding.
541;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;[] toepasbaar [].;Could the school please address the high turnover among faculty? It makes keeping momentum almost impossible.;It was really reassuring to have expert advice on thesis options and academic hurdles.
542;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Honestly, the delayed feedback from [NAME] makes it impossible to adjust for the next assignment.;Kunnen we meer case studies zien die direct relevant []?;[] netwerkevenement gisteren was fantastisch, ik [].
543;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;De communicatie [] is soms heel traag, wat [] [].;Meer systemen nodig om de mentorresponstijd te verkorten, want het is nu te traag.;Het nuttig om te zien hoe [] toepassen in de echte arbeidsmarkt.
544;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Kunt u de docenten aanmoedigen om meer flexibele en toegankelijke spreekuuropties []?;Honestly, the constant change in mentors makes it really hard to build any lasting connection.;The networking opportunities with peers helped me feel less isolated while adjusting to university life.
545;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;[] heel [] met extra sessies om alle stof echt goed te kunnen doorgronden.;Het boekingssysteem is te frustrerend, ik [].;I really appreciate the counseling services available on campus right now.
546;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;[] waardevol [] op verschillende etnische groepen dieper te bestuderen.;I wish there was a warning system when specific time slots are highly contested.;Wat betreft emotionele ondersteuning, [] ad hoc en niet structureel.
547;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;Smith's grading process feels stalled, [NAME], to please?;[] is [] te ontvangen? Het is erg frustrerend.;Could the mentorship staff implement a more proactive check-in system instead of waiting for us to reach out?
548;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Smith's tardiness with grades is making us panic, we need timely updates, please.;De snelle wisseling van mentoren haalt echt de focus uit de hele cursus.;I really appreciated the opportunities to connect with people who understand my academic struggles.
549;1;2026/27;Eindhoven;ICT & Business;Part-time;First-year;[] te abstract blijft en minder verbindt met de praktijk.;De instructie mist die diepte die [] [].;[] flexibele uren beschikbaar waren voor de sessies.
550;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het is lastig om de video's te volgen omdat de apparatuur [].;Ik waardeer de initiatief, maar de mentoren moeten misschien meer op het gebied van toelichting leren.;Could the institution implement a dedicated scheduling tool to improve accessibility?
551;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;I wish the teachers had more accessible office [], they are almost impossible to schedule.;Ik heb meer behoefte [] ondersteuning, de wachttijd is gewoon te groot.;I feel much more confident about my career path after speaking with my mentor.
552;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Kunnen we vragen om een betere grading planning? [NAME] is te langzaam.;De docenten lijken minder bereikbaar voor de online [] die [].;[] mentor meer consistent contact opneemt, niet alleen wanneer we het moeten vragen.
553;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;I'm unsure if my effort aligns with the passing grade because the criteria were ambiguous.;Het is frustrerend dat de mentors [] over de cursus.;I think more frequent check-ins, maybe [], would be really helpful for my progress.
554;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Could the institution consider adding extra makeup classes? The current schedule feels quite rushed.;[] industriegebieden konden delen met ons.;It would really help if they provided materials that acknowledge my heritage and background.
555;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Could the program incorporate more discussions about neurodiversity and different learning styles?;Het is heel prettig dat de docenten altijd een luisterend oor en advies hebben.;Ik voelde me [].
556;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Is er een reden waarom [NAME] zo langzaam is met []? Het is te veel.;It feels like the teaching is a massive lecture rather than personal academic support.;More dedicated drop-in sessions would significantly improve my access to guidance.
557;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Het is lastig om [], de docenten [] onbereikbaar.;I feel like the teaching style lacks flexibility and is too rigid for diverse learning needs.;De gemeenschappelijke ervaringen met peers hebben mij echt geholpen om mij op de campus te voelen.
558;1;2026/27;Tilburg;Artificial Intelligence;Part-time;Second-year;We need clearer guidelines, the constant stream of unclear updates makes learning difficult.;It would really help if the professors could focus more on individual student needs.;Het is lastig om een consistent ritme te houden door de onvoorspelbare afspraken.
559;2;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;We hebben meer tijd nodig om al deze projecten en leesmaterialen goed te verwerken.;De mentoren zijn erg behulpzaam met moeilijke onderwerpen, het versterkt echt mijn begrip.;Understanding the 'why' behind the grading system would clear up a lot of confusion for us.
560;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;De hoeveelheid leeswerk en projecten zorgt voor een onrealistische werkdruk.;Het is frustrerend dat persoonlijke aandacht bijna onmogelijk is in zulke grote formaten.;Het is frustrerend dat ik me [] over [].
561;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;More structured, dedicated class time would make a significant positive difference to our learning.;Ik ervaar vaak inconsistentie in de begeleiding, [].;[] met de ondersteuning en de complimenteuze woorden, ik voel me [].
562;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;It felt rushed, we need more actual instructional time to cover everything properly.;[] individuele begeleiding [].;Meer aandacht voor anti-racisme en culturele competentie [] is [].
563;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;[] tijd zouden reserveren voor praktijkvoorbeelden.;Misschien meer practica met [] we écht industrie-ervaring kunnen opdoen.;De sessie over [] was zeer waardevol.
564;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;[] we eens meer bestudeerden over minderheidsgroepen en hun ervaringen.;It makes such a difference when the instructors reach out with tips, not just waiting for us.;More resources on portfolio building and industry best practices would be amazing.
565;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;I am consistently frustrated by [NAME]'s extremely slow feedback turnaround, it causes unnecessary stress.;Honestly, the lack of in-person interaction makes us feel pretty isolated.;[] er back-up mentoren waren als de primaire mentor [] is.
566;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;De tools die we krijgen zijn vaak onbetrouwbaar, wat onze leerervaring [].;Ik hoop op meer variatie in de lesaanpak, het wordt te voorspelbaar en saai.;The counseling services are generally good, yet I wish there were more drop-in sessions available.
